experiment_id,epoch,train_loss,test_loss,accuracy,delta,lr,best_accuracy,mode,phase,timestamp,generalization_gap,acc_best_so_far,test_loss_best_so_far,train_loss_delta,test_loss_delta,delta_zone,test_loss_rolling_mean,test_loss_rolling_slope,accuracy_rolling_mean,accuracy_rolling_slope,lr_changed
greg_v3_20251222_235207,11,0.7407200347127207,0.5893827250486687,80.14,-2.1806129673489094,0.01,80.14,NORMAL,CONVERGENCE,2025-12-23T01:28:06.892081,-0.151337309664052,80.14,0.5893827250486687,-0.04166192563293536,-0.040661019614980254,Fora,0.6761628261849849,-0.05944708726666934,76.572,2.4160714285714286,False
greg_v3_20251222_235207,12,0.7089428794963281,0.5655423021769221,81.19,-0.6986096691734367,0.01,81.19,NORMAL,CONVERGENCE,2025-12-23T01:36:04.046524,-0.14340057731940592,81.19,0.5655423021769221,-0.03177715521639268,-0.02384042287174659,Fora,0.6295845748502996,-0.04795440165140745,78.47,1.9460714285714282,False
greg_v3_20251222_235207,13,0.6698726867623341,0.5091124376918696,82.25,1.5646368609234307,0.01,82.25,NORMAL,CONVERGENCE,2025-12-23T01:44:00.836332,-0.1607602490704645,82.25,0.5091124376918696,-0.039070192733993925,-0.056429864485052494,Fora,0.5888921346845506,-0.043679456248421344,79.92,1.6607142857142851,False
greg_v3_20251222_235207,14,0.6512234636279933,0.5082112852531143,82.56,5.036858931131043,0.01,82.56,NORMAL,CONVERGENCE,2025-12-23T01:51:52.973211,-0.143012178374879,82.56,0.5082112852531143,-0.01864922313434081,-0.000901152438755326,Otima,0.5604584989668447,-0.034290198378170586,80.898,1.2385714285714287,False
greg_v3_20251222_235207,16,0.6121948064135774,0.4729157946532286,83.92,9.627719121445844,0.01,83.92,NORMAL,CONVERGENCE,2025-12-23T02:07:43.993181,-0.1392790117603488,83.92,0.4729157946532286,-0.03902865721441595,-0.03529549059988574,Otima,0.5290329089647607,-0.030583079062254038,82.012,1.0457142857142863,False
greg_v3_20251222_235207,17,0.5964801636193414,0.45706160706055315,84.8,11.17651937789932,0.01,84.8,NORMAL,CONVERGENCE,2025-12-23T02:15:40.849750,-0.13941855655878826,84.8,0.45706160706055315,-0.015714642794235956,-0.01585418759267543,Otima,0.5025686853671376,-0.02890040323299913,82.944,1.0100000000000005,False
greg_v3_20251222_235207,20,0.5509560070836635,0.434499526702905,85.42,16.819512880284055,0.01,85.42,NORMAL,CONVERGENCE,2025-12-23T02:39:23.864746,-0.11645648038075856,85.42,0.434499526702905,-0.04552415653567787,-0.022562080357648173,Otima,0.4763601302723341,-0.025635986725309652,83.78999999999999,0.8832142857142858,False
greg_v3_20251222_235207,21,0.5332217709640102,0.41281982124606265,85.71,19.402274772764137,0.01,85.71,NORMAL,CONVERGENCE,2025-12-23T02:47:19.564100,-0.1204019497179476,85.71,0.41281982124606265,-0.0177342361196533,-0.021679705456842335,Otima,0.4571016069831727,-0.023519390820109603,84.482,0.7907142857142851,False
greg_v3_20251222_235207,22,0.5215308348388623,0.4009367627433584,86.48,20.82327148728239,0.01,86.48,NORMAL,CONVERGENCE,2025-12-23T02:55:15.806094,-0.12059407209550393,86.48,0.4009367627433584,-0.011690936125147933,-0.011883058502704269,Alerta,0.43564670248122156,-0.019775936457498595,85.26599999999999,0.731785714285714,False
greg_v3_20251222_235207,24,0.505470410484792,0.3957158834496631,86.62,23.23436120047631,0.01,86.62,NORMAL,CONVERGENCE,2025-12-23T03:11:09.057390,-0.10975452703512895,86.62,0.3957158834496631,-0.01606042435407029,-0.005220879293695302,Alerta,0.4202067202405084,-0.018774501965878022,85.806,0.6503571428571431,False
